# Experiment File Name : PicoGreen_Assay_
# Description : 
# User Name : 
# Last Modified date/time : Oct 02 2018 21:10:07 EDT
# Instrument Type : QuantStudio™ 3 System
# Block Type : 96-Well 0.2-mL Block
# Instrument Name : QuantStudio™ 3 System
# Instrument serial number : 272322288
# Instrument Start Date/time : Dec 04 2018 21:28:45 EST
# Instrument Stop Date/time : Dec 04 2018 22:06:25 EST
# Run Duration : 37 minutes 40 seconds
# Sample volume : 200.0
# Cover temperature : 50.0
# PCR Stage / Cycle where Analysis is performed : Stage 0 Step 0
# Melt Stage where Analysis is performed : NA
# Comments : 

"Well","Cycle Number","x1-m1","x2-m2","x3-m3","x4-m4",
"D4","2.0","21678.81","3024.3853","1798.5186","2759.864",
"D5","2.0","35060.094","9832.428","3354.7913","2714.7168",
"D6","2.0","70066.53","7974.686","1125.979","2156.8867",
"D7","2.0","103211.89","19810.154","9439.554","5554.7686",
"D8","2.0","21967.477","3081.1062","1305.9386","1047.1923",
"D9","2.0","71966.92","5799.446","1996.1501","2123.3838",
"E1","2.0","26439.125","4308.3267","1605.566","2155.9817",
"E10","2.0","59075.11","8075.3037","3300.373","3754.0806",
"E11","2.0","73216.555","9857.282","731.10254","1076.8309",
"E12","2.0","107376.15","15722.732","947.121","1441.5306",
"E2","2.0","36443.81","5137.9014","1294.6606","2252.4236",
"E3","2.0","35753.066","4936.9805","1248.487","2065.4778",
"E4","2.0","16556.777","2122.419","1481.0331","2433.7876",
"E5","2.0","196562.9","24037.781","6984.7114","1938.4781",
"E6","2.0","126479.91","14381.714","1945.3207","1746.587",
"E7","2.0","232897.5","28900.158","21722.502","5724.8003",
"E8","2.0","2828698.5","342321.38","4653.414","3217.3318",
"E9","2.0","102025.12","13887.499","4098.189","5282.6064",
"F1","2.0","17575.725","2759.2043","1591.3939","3035.2898",
"F10","2.0","52916.074","7007.6006","1945.9431","3228.576",
"F11","2.0","65795.555","9168.803","824.2464","1505.5709",
"F12","2.0","401.3559","268.64584","771.73126","-96.305855",
"F2","2.0","101653.32","14188.472","1281.874","1238.8336",
"F3","2.0","28103.06","4166.2056","2075.478","1944.9542",
"F4","2.0","87729.07","14586.934","16071.338","5253.7607",
"F5","2.0","37558.39","8635.082","3949.214","3498.066",
"F6","2.0","69338.17","10121.818","5250.805","6629.921",
"F7","2.0","53481.516","11365.109","4030.482","2352.4053",
"F8","2.0","1275912.1","154716.8","4968.134","3208.851",
"F9","2.0","94065.625","11874.856","1062.0247","1211.6211",
"G1","2.0","15047.354","2296.137","297.77264","2208.3882",
"G10","2.0","83466.34","12564.004","3703.314","3151.0361",
"G11","2.0","60509.062","8984.454","317.24823","1562.8091",
"G12","2.0","21717.467","3398.8645","1770.5812","1756.8597",
"G2","2.0","23360.893","3416.483","809.64246","1347.4133",
"G3","2.0","33231.375","6108.619","3121.4211","4538.6636",
"G4","2.0","328485.84","46189.812","15088.415","5499.721",
"G5","2.0","66187.09","14677.759","11243.531","4345.774",
"G6","2.0","67193.6","8628.972","2400.282","2433.6912",
"G7","2.0","248093.42","27223.816","2586.979","3980.9058",
"G8","2.0","1090709.4","139992.97","4540.7495","3071.597",
"G9","2.0","67134.12","8966.599","939.7196","2660.9712",
"H1","2.0","11251.085","2235.0007","725.5413","791.44135",
"H10","2.0","97345.26","13555.826","470.43335","2318.887",
"H11","2.0","183597.16","44495.14","1939.9287","889.0296",
"H12","2.0","7920.2603","902.32056","142.7079","1214.186",
"H2","2.0","25212.205","5717.125","420.45837","560.2949",
"H3","2.0","50719.316","8528.855","941.7234","1975.6833",
"H4","2.0","78132.11","18044.014","7908.057","4868.203",
"H5","2.0","52890.344","9194.31","2551.8792","2417.4194",
"H6","2.0","177367.11","27168.385","2519.3467","1589.637",
"H7","2.0","156545.52","18994.926","2064.7593","3234.3687",
"H8","2.0","62468.43","8419.679","2061.464","3115.677",
"H9","2.0","78128.28","11298.086","1374.8998","2376.5093",

